"id","k","c1","c2","lt","unitVolume","initialStock"
85,271.1,5.99,244.15,10,0.1986,2767
86,171.63,11.99,800.76,10,0.6619,606
87,103.81,8.15,409.52,4,0.6354,1751
88,486.11,8.2,720.28,15,0.1551,3041
89,134.25,10.17,377.54,3,1.3209,1402
90,124.04,9.63,308.28,4,0.2661,1049
91,37.74,3.16,130.13,4,0.3702,1879
92,162.4,12.74,370.7,4,0.0632,1738
93,5.4,1.13,13.43,3,1.2226,425
94,336.88,9.22,543.29,7,0.0162,2489
95,68.62,8.53,193.54,4,0.5849,1361
96,434.57,13.5,54.22,9,0.489,2519
97,486.52,11.4,813.53,7,0.2685,2363
98,101.78,7.84,583,5,0.1915,1334
99,150.56,12.12,294.46,4,0.6785,1128
100,59.1,1.67,55.29,5,0.2932,1090
101,186.02,12.12,583.79,4,0.63,2586
102,84.26,5.41,43.47,3,0.1419,1997
103,31.03,11.92,331.86,4,1.7282,227
104,77.68,1.43,55.99,10,0.2804,3789
105,50.27,1.45,25.78,11,0.2287,2750
106,80.59,9.81,148.25,4,0.9944,1116
107,69.17,5.8,346.31,6,0.2104,2130
108,97.44,3.02,251.46,5,0.3884,2829
109,38.59,1.92,19.16,3,0.2499,1633
110,1249,12.78,75.01,8,0.2439,6749
111,1334.31,12.09,432.57,12,0.0935,4495
112,140.97,8.19,41.01,3,0.9013,1310
113,48.38,2.29,164.44,5,0.793,622
114,183.62,13.59,1315.74,4,0.1804,1152
115,735.54,12.9,211.72,6,0.2399,2552
116,18.44,2.81,34.14,4,1.594,666
117,107.57,5.08,144.15,4,0.1926,2267
118,198.54,12.94,326.77,9,0.619,852
119,288.16,13.11,262.78,3,0.8313,914
120,98.09,12.08,333.99,4,0.4558,689
121,199.99,9.31,128.81,3,0.1199,885
122,103.09,10.09,204.03,5,1.8507,714
123,74.04,11.47,393.07,6,0.6799,1228
124,191.41,13.02,131.14,4,0.4493,1249
125,33.02,1.56,125.62,3,0.266,2112
126,231.57,13.18,844.98,4,0.4519,826
127,77,10.43,557.44,3,1.4339,385
128,87.01,1.95,119.82,5,0.1459,1357
129,127.75,8.14,185.79,4,0.6041,2144
130,56.86,4.05,39.47,6,0.2355,1814
131,81.2,9.47,770.66,5,0.2464,1454
132,35.65,4.87,35.17,5,0.7541,1014
133,49.86,3.1,246.63,3,0.0884,910
134,223.47,11.86,562.56,3,0.4347,1193
135,247.15,2.92,240.05,7,0.0525,3219
136,215.37,11.64,1026.01,4,0.0757,1357
137,251.6,10.79,120.85,4,0.2406,2669
138,31.83,1.5,32.26,3,0.5114,1574
139,107.72,8.54,543.1,5,0.3983,1761
140,50.48,7.39,68.01,6,0.1955,906
141,122.72,7.93,161.84,4,0.5993,1235
142,108.55,10.37,881.02,4,0.5358,553
143,24.13,3.38,319.47,5,0.1182,1125
144,384.71,3.76,177.61,9,0.275,3323
145,173.96,10.86,805.23,6,0.0327,1431
146,66.96,12.17,695.04,3,1.3357,302
147,463.46,9.94,392.63,5,0.4875,3066
148,73.08,3.87,219.79,5,0.2311,2572
149,28.88,6.67,354.96,3,1.8906,154
150,144.01,5.89,193.08,7,0.5737,1950
151,23.72,2.88,70.17,5,0.7142,735
152,51.71,7.16,139.24,3,2.0786,738
153,58.58,3.16,309.9,3,0.0855,1483
154,50.03,3.19,82.18,9,0.1695,978
155,66.22,8.32,151.82,3,0.634,1034
156,198.36,8.4,656.9,6,0.3305,1726
157,767.24,9.34,514.96,16,0.0726,2912
158,83.92,7.6,55.32,6,0.0787,1528
159,221.82,12.56,360.44,4,0.2528,2418
160,71.54,1.53,18.15,11,0.2867,4486
161,36.11,3.19,292.14,4,0.7156,1646
162,387.5,2.05,156.22,16,0.1008,6093
163,135.79,9.35,82.11,4,0.4532,2122
164,115.47,11.9,797.32,3,0.1385,1049
165,67.28,5.14,89.45,3,0.3829,1093
166,878.01,13.7,149.77,8,0.5198,2243
167,78.22,13.44,174.66,6,1.065,1073
168,46.32,10.77,66.73,4,1.3413,280
169,70.22,5.02,52.88,3,0.1761,1464
170,473.49,11,943.85,9,0.0107,3510
171,117.12,6.77,115.28,4,0.7138,1025
172,1469.84,11.8,92.45,13,0.1751,5966
173,387.19,3.69,356.04,10,0.0296,4887
174,39.71,5.3,54.91,4,0.7878,936
175,51.88,12.34,1028.37,3,1.5139,325
176,138.06,10.03,863.94,4,0.1254,1724
177,20.14,7.79,69.58,4,0.9395,667
178,167.91,11.35,212.22,5,0.3787,1477
179,511.49,12.84,594.88,9,0.1047,1959
180,245.75,4.99,91.48,8,0.0758,3071
181,32.04,3.68,147.11,3,0.6842,1370
182,76.89,7.59,499.78,6,0.6408,1341
183,78.74,1.75,31.36,6,0.3871,4108
184,87.63,8.33,384.3,4,0.4215,1192
185,76.91,9.78,525.91,4,0.2668,1449
186,122.49,7.93,158.94,3,0.3972,1552
187,71.68,4.24,98.21,6,0.1613,2951
188,101.66,8.26,350.97,6,0.5113,1341
189,152.95,12.15,471.24,4,0.5515,1543
190,35.69,4.02,41.16,4,0.2687,1369
191,226.43,4.49,194.3,5,0.3716,4079
192,188,7.39,491.45,5,0.2251,2064
193,17.67,1.29,105.13,5,0.1867,2317
194,102.48,4.84,372.76,3,0.1557,1935
195,104.35,8.32,336.82,6,0.1348,1103
196,323.65,2.02,8.09,8,0.2914,3084
197,1477.33,11.08,380.5,14,0.1757,8837
198,554.88,11.7,246.58,6,0.3526,2403
199,23,2.12,35.49,5,1.0982,386
200,222.25,3.64,134.52,13,0.0573,3029
201,43.85,8.38,52.65,3,0.329,237
202,245.75,6.42,118.23,8,0.4204,2020
203,476.08,6.48,29.07,7,0.2463,1616
204,59.94,6.69,186.91,5,0.2293,973
205,185.25,13.77,729.88,3,0.5595,1375
206,34.98,3.42,128.63,4,0.3018,1557
207,63.91,9.4,135.75,5,1.259,793
208,51.44,2.89,163.96,3,0.8062,1877
209,103.47,5.88,245.48,4,0.1662,2425
210,334.13,10.84,101.75,5,0.5107,2088
211,233.72,6.97,434.95,5,0.2998,1348
212,597.17,4.96,305.4,8,0.1341,5677
213,99.37,3.6,42.85,8,0.6186,1985
214,27.53,6.24,220.23,4,0.2397,935
215,60.36,4.23,382.33,3,0.5398,1800
216,100.59,12.75,419.5,5,0.4005,1361
217,79.76,12.44,74.96,4,1.2078,819
218,837.4,10.03,539.57,9,0.0139,7194
219,229.6,13.14,539.84,4,0.5289,941
220,60.02,13.01,813.62,5,1.4712,690
221,55.19,5.34,25.28,4,0.7485,1687
222,15.88,1.23,94.63,5,0.1135,1883
223,29.81,1.7,102.86,4,0.2915,1879
224,424.23,4.81,27.41,12,0.1114,5167
225,344.76,4.76,456.3,10,0.0189,4278
226,110.94,7.24,668.38,4,0.3221,1638
227,99.32,4.58,302.05,4,0.2661,582
228,29.71,12.55,1080.87,6,2.1221,263
229,26.61,3.14,12.63,4,1.1975,1080
230,14.71,1.7,109.06,5,0.0809,688
231,105.6,12.04,197.22,4,0.1917,1155
232,119.89,8.35,140.92,3,0.6158,2122
233,276.83,8.88,812.06,7,0.3553,752
234,97.59,4.83,481.79,6,0.2654,2942
235,288.5,13.08,1214.52,5,0.1442,3127
236,160.43,8.1,47.44,4,0.2899,2142
237,137.98,7.19,495.24,5,0.3157,1770
238,137.1,7.51,43.38,3,0.6931,1216
239,110.92,7.74,192.78,4,0.1729,1553
240,60.01,8.1,236.46,5,0.4963,1250
241,16.4,3.5,133.28,3,1.1761,666
242,249.06,13.42,548.85,6,0.1072,1831
243,218.07,11.14,169.9,5,0.2533,1781
244,67.88,3.6,90.24,5,0.3532,1866
245,196.47,12.4,1160.19,4,0.0432,1880
246,27.37,4.73,106.45,3,0.2263,555
247,16.33,1.34,51.47,4,0.2867,564
248,15.23,2.28,64.84,5,0.4982,1322
249,694.78,6.27,152.45,14,0.1424,7073
250,32.4,6.16,390.08,3,0.3449,409
251,164.27,4.01,49.73,6,0.2478,3909
252,397,5.87,150.11,8,0.0235,4675
253,102.37,9.55,872.23,3,0.1549,783
254,52.83,9.51,336.75,4,1.3229,711
255,29.39,2.24,90.92,4,0.3318,1796
256,493.93,10.9,1029.41,5,0.4073,4353
257,6.1,2.03,12.22,3,0.4424,674
258,220.5,13.24,470,5,0.2183,2080
259,60.48,10.62,398.4,5,0.6102,423
260,299.09,4.94,132.68,7,0.394,1931
261,1988.13,12.27,478.79,11,0.185,3419
262,232.8,13.57,364.17,3,0.1154,1218
263,167.58,5.93,82.26,7,0.3799,2260
264,1894.91,10.41,437.63,8,0.0059,7014
265,112.75,10.26,425.78,4,0.9557,1336
266,172.67,12.47,127.11,5,0.0334,1923
267,17.6,1.68,45.38,3,0.2303,1696
268,148.39,3.5,157.03,8,0.3274,2396
269,251.53,10.77,415.86,5,0.2484,3774
270,157.74,11.55,245.05,3,0.9038,1037
271,14.42,2.29,155.67,4,0.8251,649
272,74.68,8.43,153.58,4,0.1198,500
273,342.65,2.59,111.09,13,0.032,5674
274,363.54,6.1,215.22,10,0.107,2545
275,33.13,1.35,121.39,12,0.2992,1195
276,41.19,1.27,31.61,9,0.4766,1914
277,87.06,5.78,384.96,5,0.42,1041
278,221.97,10.81,150.73,3,0.7346,1421
279,10.64,1.15,16.75,3,1.277,594
280,400.71,2.76,270.53,14,0.0116,9628
281,28.58,10.89,894.52,3,1.5552,377
282,124.9,7.23,354.68,4,0.0224,2512
283,76.88,7.51,610.04,4,0.8908,1024
284,76.6,10.98,794.08,4,0.1763,601
285,443.02,13.39,1182.44,7,0.3993,1522
286,293.31,7.16,564.89,10,0.0848,1367
287,11.74,1.84,25.74,4,0.521,1085
288,256.34,13.8,829.13,4,0.0348,1645
289,79.41,12.85,356.42,4,0.6656,792
290,61.11,9.6,566.43,4,0.7366,784
291,164.25,9.7,227.63,5,0.3482,2894
292,494.31,13.22,616.21,9,0.1947,3359
293,88.04,5.5,285.44,3,0.115,1005
294,46.5,11.67,342.68,3,0.5528,547
295,129.37,6.93,192.26,5,0.3357,2978
296,191.86,3.69,61.64,7,0.1348,2717
297,55.05,5.86,48.7,3,1.4104,1182
298,30.46,6.5,151.07,4,0.5744,340
299,48.68,6.38,167.63,4,0.5692,801
300,193.4,13.77,186.47,4,0.6546,1021
301,267.34,10.75,146.95,5,0.3165,1577
302,235.79,7.37,667.76,8,0.3382,1672
303,63.96,12.93,650.36,3,2.2401,700
304,321.27,6.28,26.18,8,0.0298,2983
305,238.68,4.14,379.04,6,0.0454,2658
306,769.12,10.44,365.59,12,0.2194,6249
307,207.71,12.19,903,4,0.585,1427
308,276.08,13.5,1168.45,5,0.4221,3185
309,79.22,11.01,949.05,4,0.8938,580
310,148.71,13.36,497.45,5,0.1283,1280
311,108.08,7.99,132.1,4,0.3259,1044
312,216.77,6.26,327.46,5,0.6602,1240
313,136.86,3.23,39.71,9,0.2985,2896
314,50.32,3.28,194.81,4,0.4141,1922
315,49.29,3.77,210.53,5,0.4636,954
316,826.77,9.33,642.33,11,0.1424,2522
317,14.71,5.07,292.68,3,0.465,665
318,98.29,7.13,460.32,4,0.5691,2432
319,44,2.34,10.02,5,0.0823,1985
320,485.28,10.96,420.01,11,0.2525,2873
321,532.68,6.98,383.88,7,0.2514,2540
322,62.89,6.31,397.66,4,0.0455,1370
323,63.55,3.81,21.4,3,0.0994,1267
324,100.65,10.84,453.95,4,0.0238,413
325,38.37,4.83,264.8,4,0.097,912
326,61.42,6.79,71.07,4,0.4234,1351
327,183.13,12.29,215.11,6,0.1181,2772
328,257.27,11.91,54.59,4,0.3929,2172
329,107.72,12.14,1067.24,3,0.6716,729
330,104.73,10.05,55.36,4,0.4755,609
331,41.68,3.85,215.35,4,0.2956,1815
332,54.71,4.19,105.95,6,0.0111,2014
333,18.48,1.85,18.39,4,0.6991,695
334,309.17,10.95,69.96,3,0.3947,3488
335,70.74,12.16,688.3,5,1.0756,1142
336,64.01,1.08,10.58,5,0.0875,1367
337,24.06,3.55,206.13,6,0.7606,802
338,432.23,4.52,145.09,16,0.0546,3765
339,90.06,2.39,180.33,9,0.381,3926
340,361.45,12.64,426.72,4,0.3978,3533
341,100.6,8.14,171.95,4,0.1945,1601
342,119.3,4.52,23.68,6,0.7887,1530
343,448.4,11.71,127.09,6,0.57,2994
344,89.68,4.86,154.72,4,0.3824,1901
345,82.86,11.14,325.18,5,0.3461,569
346,96.61,5.62,58.98,5,0.3165,2333
347,131.84,5.83,118.22,5,0.0922,1473
348,100.43,8.83,442.11,3,0.4067,407
349,45.55,10.17,451.83,3,0.4905,982
350,44.6,7.17,685.35,4,0.1928,1109
351,34.05,5.1,127.96,5,0.8705,1191
352,24.71,10.2,126.76,5,0.2334,502
353,54.68,9.24,908.63,4,0.8393,963
354,69.67,10.07,421.22,5,0.8465,1626
355,134.55,10.28,74.66,5,0.3092,2245
356,93.26,5.58,478.24,4,0.5126,1095
357,19.03,1.28,106.28,4,0.0249,1900
358,58.42,13.45,1328.01,5,0.5528,462
359,237.01,9.17,41.77,5,0.065,1989
360,47.97,1.19,69.51,7,0.3476,3315
361,40.52,6.65,177.91,4,1.3392,735
362,618.49,11.86,154.27,8,0.1365,3604
363,78.37,3.51,61.27,5,0.296,3450
364,43.5,11.57,145.54,3,1.9746,241
365,70.07,10.59,85.94,5,0.4225,1065
366,152.84,12.87,124.88,4,0.0353,1527
367,147.53,13.25,583.83,4,0.4737,1133
368,1014.16,12.21,133.04,10,0.0801,4486
369,25.75,2.11,173.55,5,0.2863,1078
370,107.21,4.47,204.23,7,0.7566,2266
371,160.27,9.08,448.12,6,0.3169,2454
372,28.99,6.76,95.17,4,1.1363,698
373,1751.35,11.92,1037.33,13,0.0473,3243
374,137.82,9.45,660.02,8,0.2117,1432
375,55.15,6.09,200.75,3,0.0692,1033
376,26.94,6.03,366.56,4,0.2565,354
377,78.41,11.03,77.31,3,0.5674,761
378,52.31,5.21,472.1,3,1.3804,701
379,5.84,1.01,20.05,3,1.3664,744
380,188.31,9.33,186.4,4,0.5446,2622
381,89.65,11.35,78.46,4,1.137,1178
382,197.8,10.73,462.87,4,0.2702,2013
383,43.71,3.12,118.8,4,0.7838,1777
384,242.75,3.13,123.09,13,0.2095,3979
385,87.47,10.9,251.76,4,0.0898,1382
386,15.74,5.73,137.55,3,1.4251,297
387,54.89,4.66,117.41,6,0.1531,2277
388,145.39,11.7,341.99,4,0.3764,1227
389,31.93,3.54,337.04,4,0.1203,1091
390,143.44,7.09,231.49,6,0.2494,1811
391,33.89,1.12,30.78,5,0.4357,1054
392,74.89,9.78,66.47,4,0.3112,451
393,24.62,1.47,21.05,6,0.0869,1797
394,768.71,5.1,190.26,14,0.1587,8307
395,125.02,12.43,280.25,4,0.6997,946
396,179.66,10.18,532.2,11,0.3818,1211
397,60.75,4.31,105.34,4,0.1072,967
398,42.3,3.31,183.6,4,0.4211,1262
399,86.21,13.05,784.65,5,0.6791,1269
400,11.99,3.34,82.02,5,0.5529,535
401,148.27,9.46,934.89,6,0.447,1576
402,46.07,6.01,272.98,3,0.6521,507
403,83.27,8.07,270.88,4,0.7477,1047
404,242.03,10.69,178.27,4,0.6042,1768
405,89.34,11.13,78.77,4,0.2719,1070
406,51.61,3.1,30.51,4,0.4753,1203
407,186.06,11.59,1038.68,3,0.3515,1395
408,11.42,1.16,24.24,4,0.5929,1495
409,81.63,6.22,399.69,5,0.2784,1496
410,73.35,5.88,285.44,4,0.0656,1622
411,92.51,4.43,126.32,5,0.3548,2979
412,61.39,5.93,96.75,3,0.5751,648
413,235.86,13.84,654.29,3,0.5467,716
414,137.78,6.53,85.29,6,0.2465,2069
415,77.82,11.04,857.06,6,0.8213,1457
416,39.77,8.97,613.03,3,2.961,241
417,183.85,13.34,474.06,4,0.5446,1638
418,538.1,13.07,592.21,5,0.3871,1810
419,27.5,3.05,272.75,3,0.7714,672
420,201.81,10.52,90.21,5,0.3617,2557
421,117.15,6.81,323.74,6,0.1946,2117
422,6.71,1.82,141,4,0.7168,548
423,414.3,12.92,53.93,7,0.4273,1181
424,253.64,10.46,77.11,8,0.6483,1569
425,197.85,8.23,136.6,5,0.5005,726
426,255.46,10.65,218.5,6,0.3111,2008
427,129.97,12.02,779.06,6,0.5086,1010
428,151.83,4.3,61.47,6,0.0195,1205
429,33.05,3.88,293.95,4,0.4137,1532
430,42.76,2.67,51.24,5,0.1967,1994
431,180.02,7.53,59.93,9,0.0941,1191
432,125.59,8.21,695.85,4,0.4813,2501
433,257.32,10.65,200.65,6,0.4935,1468
434,676.07,12.32,222.28,10,0.1304,1133
435,48.22,6.52,548.33,4,1.0567,1179
436,45.22,3.12,76.86,3,0.7946,559
437,1657.84,11.11,391.03,14,0.1977,5211
438,747.91,8.67,126.14,10,0.0057,2066
439,225.62,7.26,504.49,10,0.1838,3872
440,1288.79,10.43,645.19,13,0.1388,6963
441,14.19,2.63,47.9,3,1.2483,297
442,181.24,2.95,58.83,6,0.4449,4002
443,13.41,1.96,131.11,4,1.2007,482
444,319.67,9.29,676.26,9,0.2022,5017
445,22.36,3.46,327.71,3,0.0505,338
446,22.4,4.87,212.98,5,1.0271,611
447,95.88,7.17,29.03,4,0.7206,2299
448,78.14,8.67,582.04,4,0.2552,1628
449,179.71,11.84,294.24,4,0.5357,1674
450,260.68,13.76,863.83,6,0.1581,2835
451,92.98,9.47,198.19,3,1.2386,503
452,244.8,13.87,369.7,5,0.2767,1913
453,31.26,2.67,68.32,5,0.2762,1145
454,38.74,4.17,72.03,4,0.0796,1221
455,39.33,3.75,285.31,6,0.2055,1420
456,142.11,12,379.29,5,0.1562,1646
457,183.8,9.17,116.62,5,0.343,2565
458,93.86,6.66,204.1,5,0.5396,1007
459,43.02,6.35,561.57,3,1.3986,836
460,81.28,6.17,462.25,4,0.3375,2060
461,813.3,12.75,653.6,8,0.1673,3101
462,47.4,2.3,149.41,9,0.2973,2184
463,59.69,7.46,85.64,4,0.2655,1302
464,99.9,11.4,885.77,6,0.5814,808
465,151.03,7.2,212.95,5,0.062,2726
466,246.31,13.13,237.94,5,0.0354,1885
467,8.09,1.26,105.99,5,0.3082,1379
468,33.53,4.81,301.79,3,1.2657,1087
469,487.43,4.6,294.31,16,0.0782,3085
470,476.68,8.69,552.44,9,0.2049,2329
471,151.81,12.46,361.28,4,0.3522,1163
472,72.61,4.17,329.11,3,0.0761,2211
473,47.37,1.86,140.4,6,0.179,2616
474,181.21,10.39,77.97,5,0.4216,1794
475,10.95,2.46,83.89,5,0.6959,701
476,48.57,9.08,453.03,3,1.3486,441
477,223.5,9.41,823.23,4,0.3145,1388
478,79.87,5.21,78.23,5,0.2581,1616
479,114.82,7.91,570.37,5,0.3039,2156
480,164.7,11.14,199.86,4,0.6098,1910
481,46.49,6.89,78.35,4,1.1303,762
482,237.12,10.3,222.29,5,0.134,2366
483,607,10.61,426.88,6,0.3155,3811
484,25.42,2.38,58.07,5,0.5569,1365
485,80.05,3.62,182.45,7,0.15,1316
486,55.99,2.88,24.65,5,0.0749,1834
487,264.06,5.04,39.5,8,0.0121,3621
488,73.18,9.23,290.9,4,0.3682,680
489,121.65,4.89,61.71,4,0.4923,1595
490,80.59,7.19,50.18,4,0.6795,787
491,109.46,11.86,829.81,4,0.5221,1064
492,192.46,10.2,419.2,4,0.2616,2659
493,99.7,6.01,132.25,4,0.0979,1020
494,110.22,7.66,737.75,4,0.1808,1716
495,225.12,9.49,133.67,9,0.2698,1209
496,349.59,11.86,365.65,5,0.018,1143
497,106.29,9.84,382.25,4,0.5307,1713
498,87.61,9.15,572.6,5,0.3202,968
499,32.3,2.29,150.6,4,0.2155,2187
500,299.75,11.14,875.6,6,0.6612,1718
501,278.37,4.32,70.81,6,0.0904,1867
502,813.57,9.07,878.72,8,0.257,3921
503,759.61,11.2,224.78,7,0.3896,2691
504,388.43,12.95,1035.05,8,0.3069,2826
505,106.34,10.68,640.33,3,0.116,902
506,109.91,9.26,292.48,5,0.0414,878
507,97.45,7.69,562.33,3,0.6902,1079
508,146.94,5.41,29.82,4,0.0266,3131
509,426.99,11.12,219.76,10,0.0811,1765
510,23.96,2.22,159.17,4,0.1259,984
511,25.31,5.3,521.06,4,0.0822,1169
512,235.3,12.03,663.36,3,0.1196,642
513,122.18,9.28,455.45,5,0.33,1324
514,132.61,10.49,193.91,6,0.5052,1971
515,68.83,4.53,30.01,3,0.428,1523
516,114.35,11.72,379.9,7,0.4056,1051
517,35.09,9.21,377.93,2,1.7752,260
518,747.75,13.07,1140.48,11,0.3138,2727
519,1622.85,13.91,1329.36,14,0.145,4978
520,34.43,1.17,28,8,0.1451,2209
521,161.28,13.57,860.2,4,0.2636,857
522,85.06,6.91,404.17,4,1.1561,925
523,264.58,12.06,444.96,5,0.808,1601
524,16.65,3.5,36.78,5,0.3938,674
525,38.83,5.34,384.65,3,0.5079,511
526,215.18,6.13,65.22,7,0.3316,1967
527,63.5,7.82,45.31,5,1.0185,836
528,77.37,3.6,56.69,5,0.37,1141
529,115.13,4.33,365.5,4,0.2829,2413
530,395.5,7.9,141.39,6,0.0256,3231
531,37.1,4.43,322.56,5,0.11,1584
532,72.83,12.05,313.13,6,0.0726,763
533,235.25,11.89,227.89,4,0.4303,2595
534,29.09,10.34,62.09,4,0.3157,645
535,70.54,8.2,168.46,6,0.4654,1767
536,28.06,6.2,53.45,4,1.2978,589
537,9.36,2.09,206.24,6,0.7936,969
538,21.19,1.36,30.8,4,0.7497,1233
539,129.26,3.84,236.62,7,0.0693,1783
540,21.9,4.95,79.56,3,1.1536,888
541,682.21,10.29,702.82,7,0.1763,3604
542,59.24,5.81,552.95,4,0.5388,1441
543,375.13,9.42,188.89,6,0.1198,1565
544,30.92,1.67,36.25,4,0.1919,2177
545,96.68,11.63,353.55,6,0.8479,1011
546,93.82,10.92,616.93,5,0.7268,1120
547,933.21,9.9,903.8,8,0.0083,4337
548,73.91,6.89,54.98,4,0.1891,914
549,82.06,8.44,276.44,5,0.3187,1031
550,244.02,13.8,100.68,5,0.2338,1222
551,131.56,3.43,111.97,7,0.1491,4824
552,36.86,4.34,384.97,3,0.3965,1710
553,343.69,13.45,87.93,8,0.1836,3508
554,267.19,6.18,389.19,12,0.1906,4222
555,46.5,4.53,89.38,6,0.3336,1468
556,12.81,2.2,65.76,4,1.3341,412
557,53.06,9.73,340.69,5,0.9841,634
558,32.66,9.38,470.43,4,1.5934,337
559,144.83,7.7,164.62,3,0.6029,1188
560,57.26,4.32,124.61,5,0.4233,1115
561,205.24,6.31,261.87,5,0.2237,3005
562,45.76,7.61,352.93,3,1.5429,980
563,271.53,4.49,363.43,16,0.0592,1794
564,42.22,10.67,857.39,4,1.0825,451
565,159.93,9.58,323.99,4,0.2162,1262
566,187.97,12.69,642.69,6,0.0787,2555
567,24.98,4.24,32.3,4,0.5575,373
568,109.94,11.72,272.96,4,0.7622,1207
569,16.01,4.29,44.75,4,2.278,539
570,86.91,7.37,396.84,5,0.3538,2425
571,47.69,2.21,22.16,10,0.341,2054
572,17.23,1.31,10.7,6,0.1788,2127
573,24.95,1.79,136.13,4,0.5934,1410
574,309.16,10.98,68.88,6,0.4172,3123
575,183.11,8.85,400.35,4,0.4145,2837
576,70.13,7.42,75.3,3,0.0654,1589
577,19.71,2.51,25.14,4,0.2557,1875
578,76.4,11.36,812.44,4,0.6151,754
579,632.12,12.33,184.92,7,0.2728,4295
580,20.88,1.07,5.51,3,0.3066,1018
581,32.56,2.31,34.34,4,0.2351,1572
582,195.52,13.45,491.69,5,0.1666,1768
583,506.53,13.83,892.5,11,0.3048,2482
584,323.13,12.31,643.05,9,0.3069,2489
585,167.7,12.94,515.59,6,0.2177,1758
586,80.69,8.21,82.97,4,0.6287,1319
587,43.12,6.22,84.17,4,0.1319,954
588,201.9,8.27,98.1,7,0.4021,2854
589,149.15,11.67,1102.35,4,0.4379,2018
590,281,13,503.06,7,0.4809,1029
