"id","ROP","Q"
34890,24,43
34903,108,165
34975,100,186
35106,21,28
35354,12,21
35387,63,176
35436,14,31
35462,59,119
35480,150,213
35505,60,107
35550,25,44
35571,41,69
35595,111,153
35607,54,92
35749,182,253
35767,72,102
35842,66,114
35941,85,183
36002,22,49
36018,33,64
36024,185,231
36033,274,378
36060,22,44
36076,117,389
36128,81,169
36155,28,57
36223,37,54
36350,314,425
36448,17,37
36481,128,317
36547,37,118
36558,58,157
36567,109,163
36616,27,70
36622,56,112
36631,65,117
36790,134,201
36812,77,134
36838,92,167
36855,44,59
36873,46,57
36909,157,176
36998,140,280
37004,66,111
37115,45,85
37146,151,245
37253,83,154
37292,58,165
37407,63,177
37437,285,591
37552,120,214
37586,154,284
37597,102,175
37608,48,59
37633,157,267
37639,16,28
37680,124,186
37698,45,63
37840,135,185
37860,35,61
37983,61,79
37989,104,140
38061,129,308
38208,29,84
38261,367,745
38279,191,482
38385,126,183
38496,84,162
38510,72,150
38543,5,7
38569,80,133
38626,142,239
38671,126,171
38712,178,403
38733,26,32
38792,18,20
38848,141,263
38854,79,134
38923,13,16
39004,32,59
39032,6,9
39197,69,101
39212,189,485
39237,77,102
39264,62,104
39282,55,73
39379,148,470
39403,96,149
39456,68,129
39494,115,145
39575,77,91
39576,116,185
39597,62,106
39617,12,30
39698,59,61
39787,108,185
39826,78,125
39836,72,115
40162,19,46
40171,53,171
40177,75,120
40187,77,107
40237,157,163
40390,117,261
40436,127,185
40442,256,302
40640,60,194
40680,30,44
40693,88,166
40760,75,140
40779,117,156
40822,166,227
40866,116,215
41042,40,86
41145,65,156
41177,51,108
41199,52,96
41292,57,201
41557,17,34
41590,31,43
41729,337,513
41741,93,139
41770,222,394
41814,28,88
41818,150,442
41835,4,8
41869,84,137
41877,49,68
41933,38,109
42003,53,142
42051,85,238
42119,290,413
42213,31,63
42223,42,83
42239,56,109
42372,33,38
42448,36,75
42535,14,37
42647,76,93
42682,15,41
42715,71,147
42735,85,116
42817,206,339
42825,15,46
42866,51,141
42976,14,30
42998,11,37
43222,50,84
43259,46,72
43337,7,17
43364,9,13
43366,256,379
43375,37,67
43454,95,132
43499,60,119
43593,58,80
43695,124,220
43741,93,131
43858,126,225
43862,69,102
43915,67,145
44000,43,99
44063,12,27
44177,4,10
44196,27,55
44289,138,203
44293,144,206
44424,66,122
44488,106,224
44502,129,348
44533,33,70
44643,21,39
44648,15,27
44730,103,205
44743,126,176
44807,78,114
44871,33,78
44976,144,379
45016,2,8
45037,4,8
45049,8,10
45116,3,5
45158,7,13
45194,3,7
45368,3,6
45369,13,23
45376,5,8
45411,6,12
45439,11,17
45457,11,14
45516,8,18
45662,11,17
45687,4,7
45719,31,37
45847,8,13
45981,6,7
45993,19,31
46088,6,12
46111,7,8
46210,22,37
46468,3,8
46551,5,8
46994,6,7
47004,8,16
47013,11,24
47016,2,4
47038,7,13
47046,8,15
47102,4,7
47104,3,9
47174,3,7
47197,13,16
47250,6,11
47361,4,6
47387,7,9
47476,12,12
47489,9,11
47562,6,11
47572,6,8
47599,8,14
47605,7,8
47666,6,10
47683,6,23
47718,4,9
47733,3,7
47789,3,4
47803,5,15
47817,8,14
47856,14,21
47906,8,15
47991,7,11
47995,7,14
48012,6,14
48069,6,9
48092,4,7
48155,9,12
48167,3,4
48327,4,7
48332,14,14
48356,4,7
48360,9,11
48405,10,19
48445,4,7
48458,6,10
48671,28,35
48708,11,19
48771,8,15
48827,5,10
48844,5,9
48872,12,14
48964,4,7
48999,5,14
49000,4,7
49060,5,8
49147,4,8
49193,4,13
49268,19,35
49387,7,13
49512,5,8
49667,8,13
49698,8,12
49700,5,12
49759,12,15
49834,6,7
49911,8,14
49921,18,25
50089,8,9
50105,4,6
50113,9,14
50212,7,11
50216,6,10
50236,7,18
50340,2,7
50354,5,8
50356,3,7
50700,5,12
50710,5,7
50779,4,9
50866,4,10
50958,11,14
51037,15,17
51163,3,6
51196,6,12
51260,4,10
51312,6,12
51361,3,8
51367,3,6
51406,9,13
51425,12,13
51456,3,9
51517,7,10
51661,16,18
51719,6,14
51733,7,12
51774,4,6
51966,7,12
52032,6,10
52053,10,12
52078,13,18
52113,7,12
52134,3,5
52264,14,24
52297,6,11
52470,3,8
52498,8,26
52562,5,9
52579,8,15
52657,5,11
52854,5,10
52940,9,18
53000,5,7
53108,9,11
53139,7,12
53158,7,11
53260,6,8
53288,8,15
53333,6,8
53362,4,8
53387,8,11
53455,7,15
53531,4,6
53535,3,6
53595,18,42
53637,4,11
53648,6,8
53681,11,24
53686,14,17
53903,8,8
53999,5,8
54024,10,10
54054,7,16
54110,2,4
54187,7,8
54223,5,7
54234,6,9
54304,18,24
54414,4,6
54456,6,10
54579,7,17
54619,8,10
54727,7,11
54775,6,13
54779,6,14
54786,7,9
54875,5,8
54879,2,6
54980,6,12
55122,8,11
55124,10,15
55130,6,10
55156,20,33
55322,8,10
55393,4,6
55459,6,11
55514,3,6
55571,16,21
55661,8,12
55679,3,6
55682,7,12
55734,3,5
55747,8,10
55834,10,11
55939,4,10
55966,5,12
56189,7,12
56198,8,16
56215,4,6
56232,14,27
56249,8,17
56257,7,9
56534,9,15
56722,6,16
56723,7,12
56845,6,14
56859,5,7
56908,9,14
56990,6,19
57211,20,21
57257,5,9
57274,10,15
57294,3,5
57302,6,13
57307,30,48
57309,7,14
57351,5,8
57412,8,14
57438,5,7
57623,6,12
57663,11,17
57693,28,41
57707,5,7
57735,21,43
57745,6,15
57770,9,16
57817,28,48
57923,5,10
57955,4,9
57965,4,5
57986,7,11
57995,15,39
58078,4,9
58127,6,7
58175,11,19
58191,4,6
58249,23,41
58277,6,15
58383,4,10
58456,5,16
58501,7,12
58584,8,13
58633,10,11
58737,20,23
58790,17,25
58813,17,38
58880,17,40
59021,9,17
59031,7,12
59044,11,15
59088,2,6
59121,4,5
59288,7,11
59335,7,12
59360,17,22
59447,11,29
59498,7,11
59651,4,6
59703,7,12
59817,6,13
59862,8,9
59962,9,24
59981,11,15
